id,smiles
CHEMBL1490336,CCOc1ccc2nc(NC(=O)c3ccccn3)sc2c1
CHEMBL1338085,CCCc1ccc(C(=O)O/N=C(\N)c2ccccn2)cc1
CHEMBL1559414,CCOC(=O)c1sc(NC(=O)c2sccc2C)cc1C
CHEMBL2324048,Clc1ccc(C2=NO[C@@H](Cc3ccccc3)C2)cc1
CHEMBL1330058,O=C(Oc1ccc(-c2nc(-c3ccccn3)no2)cc1)c1ccccc1
CHEMBL339587,O=C(/C=C/c1ccc(O)c(O)c1)c1ccccc1O
CHEMBL1423060,COc1ccc(C(=O)Nn2c(SCC(=O)NCc3ccco3)nc3ccccc3c2=O)cc1
CHEMBL1312582,CC(C)C(=O)Nc1ccc(NC(=O)c2ccccn2)cn1
CHEMBL1343458,Nc1cc2sc(-c3ccc(C(=O)O)cc3)nc2cc1Cl
CHEMBL1490043,CCOc1ccc(N/C=C/C(=O)c2ccccc2)cc1
CHEMBL1327298,COc1ccc(-c2cn3nc4c(nc3n2)CCCC4)cc1
CHEMBL1579042,CSc1nc(N)n2nc(-c3ccc(Cl)cc3)cc2n1
CHEMBL1466102,O=C(/C=C/Nc1ccc(Br)cc1F)c1ccco1
CHEMBL1594961,c1ccc2nc(-c3nc4ccccc4[nH]3)ccc2c1
CHEMBL1527186,Cc1ccc2[nH]c(-c3cccc(N)c3)nc2c1
CHEMBL473126,COc1ccccc1-c1nc(-c2ccc(N(C)C)cc2)no1
CHEMBL408563,O=C(/C=C\Nc1ccccn1)c1ccc(Cl)cc1
CHEMBL408653,Clc1cccc(-c2nc(-c3ccccn3)no2)c1
CHEMBL260560,Cc1ccc2nc(NC(=O)c3cccs3)sc2c1
CHEMBL1453723,COc1cc(SC)ccc1C(=O)Nc1nc(C)cs1
CHEMBL1462373,COc1ccc(-c2cc3nc(C)cc(N)n3n2)cc1
CHEMBL1310341,CCCCOc1ccc(-c2cc(C(=O)NN=C(S)NCC)c3ccccc3n2)cc1
CHEMBL1985333,COc1ccc(C(=O)O/N=C(/C)c2cccs2)cc1
CHEMBL1386322,Cc1ccsc1/C=C1\CCc2ccccc2C1=O
CHEMBL1986443,Cc1ccsc1/C=N/Nc1nc(O)nnc1C
CHEMBL1371339,Clc1ccc(/C=C/c2nc3ccccc3[nH]2)c(Cl)c1
CHEMBL1393129,CN(C)c1ccc(NC(=S)c2ccccn2)cc1
CHEMBL1403830,O=c1c2ccccc2nnn1CSc1nnc2sc3ccccc3n12
CHEMBL590900,Cc1ccc(Nc2nc(N)c3ccccc3n2)cc1Cl
CHEMBL1519352,Cc1ccc(C(=O)COC(=O)c2cccs2)cc1
CHEMBL1564396,COC(=O)c1sccc1NC(=O)Nc1ccc(F)cc1
CHEMBL3195360,CCOc1ccc(N/N=C2/C(=O)Nn3c2nc(C)cc3=O)cc1
CHEMBL1508424,Cc1c(C(=O)NCC2CCCO2)oc2ccc3c(c12)C(=O)CC(C)(C)O3
CHEMBL1608635,O=C(/C=C/Nc1ccc(Br)cc1F)c1ccccc1
CHEMBL1452409,Clc1ccc(/C=C/c2nc3ccccc3[nH]2)cc1
CHEMBL1595632,Cc1nc2cc(-c3ccccc3)sc2c(=O)n1N
CHEMBL1486109,COc1ccc(-c2nc(-c3ccccn3)no2)cc1
CHEMBL1498959,CCCC(=O)C1=C(Nc2ccc(OC)cc2OC)CC(C)(C)CC1=O
CHEMBL1598510,CN1CCN(c2ncnc3c2cnn3-c2ccc(Cl)cc2)CC1
CHEMBL1319679,Cc1csc(NC(=O)C2COc3ccccc3O2)n1
CHEMBL3190812,COc1cccc(C(=O)/C=C/Nc2cccc(O)c2)c1
CHEMBL1476189,CCOc1ccc2nc(NC(=O)c3ccc(C)o3)sc2c1
CHEMBL1537098,CC(C)(C)c1ccc(C(=O)Nc2ccc(CC(=O)O)cc2)o1
CHEMBL600572,CC(C)(C)c1ccc(-c2nc(-c3ccncc3)no2)cc1
CHEMBL1587018,COc1cccc(C(=O)c2cc3ccc(O)cc3oc2=O)c1
CHEMBL1503930,O=C(Nc1ccccc1)Nc1ccc(C(=O)N2CCCC2)cc1
CHEMBL2005446,COc1ccc(/N=C/C2=C(O)c3ccccc3C2=O)cc1
CHEMBL1497939,Cc1ccc(-c2nc(-c3ccccn3)no2)cc1
CHEMBL1544877,N=C(NOC(=O)c1ccc2ccccc2c1)c1ccccn1
CHEMBL428789,CCOc1ccc2nc(NC(=O)Nc3cccs3)sc2c1
CHEMBL508666,COc1ccc2nc(-c3ccccc3F)sc2c1
