InChI_Key,set,smiles,molecule_chembl_id,molwt,scf,id,ina_dir
YAPFJQAAGSJKKN-NRFANRHFSA-N,PubChem,C=C1CCN([C@H](C(=O)NCc2ccccc2)C(C)C)S(=O)(=O)c2ccccc21,CHEMBL1883995,398.5280000000002,CC(C)C(C(C)CCC1CCCCC1)C1CCC(C)C2CCCCC2C1(C)C,DCM-31314,/tmp/temp/ina_vdni7tn2
DCDLSQGHLHSHGQ-UHFFFAOYSA-N,PubChem,O=C1CN(C(=S)Nc2ccc(OC(F)F)cc2)CCN1,CHEMBL1709895,301.31800000000004,CC(C)CC1CCC(CC(C)C2CCCC(C)C2)CC1,DCM-67146,/tmp/temp/ina_vdni7tn2
KZZIPHZUEVQSHR-UHFFFAOYSA-N,PubChem,COC(=O)c1[nH]c2cccc(OC)c2c1NC(=O)CN(C)CC1OCCO1,CHEMBL1299214,377.39700000000016,CCC(C)C1CC2CCCC(CC)C2C1CC(C)CC(C)CC1CCCC1,DCM-100070,/tmp/temp/ina_vdni7tn2
HIHNDLREWUJZKX-AWNIVKPZSA-N,Novartis,C/C(=N\NC(=N)N)c1ccc(Br)cc1,CHEMBL4588967,255.119,CC(C)CCC(C)C1CCC(C)CC1,DCM-114000,/tmp/temp/ina_vdni7tn2
ZSLKFEYXJOTRMO-UHFFFAOYSA-N,PubChem,O=C(Nc1c2c(nn1-c1ccc(F)cc1)C[S+]([O-])C2)c1ccco1,CHEMBL1894405,345.35500000000013,CC1CCC(C2CC3CC(C)CC3C2CC(C)C2CCCC2)CC1,DCM-77310,/tmp/temp/ina_vdni7tn2
UVOQILZMXUDYFU-UHFFFAOYSA-N,PubChem,CCc1ccc(N2CC(C(=O)Nc3ccc4c(c3)OCO4)CC2=O)cc1,CHEMBL1354699,352.3900000000001,CCC1CCC(C2CC(C(C)CC3CCC4CCCC4C3)CC2C)CC1,DCM-109875,/tmp/temp/ina_vdni7tn2
HOQZGZFYOGWZLQ-UHFFFAOYSA-N,PubChem,Cn1c(SCC(=O)N2CCCC2)nnc1-c1cnccn1,CHEMBL1542770,304.379,CC(CCC1CCC(C2CCCCC2)C1C)C1CCCC1,DCM-19406,/tmp/temp/ina_vdni7tn2
OITMJKUQMNPKDK-UHFFFAOYSA-N,PubChem,Cn1cc(C(=O)NC2CCCCC2)c(=O)c2cc(S(=O)(=O)N3CCOCC3)ccc21,CHEMBL1720840,433.53000000000026,CC(CC1CCCCC1)C1CC(C)C2CCC(C(C)(C)C3CCCCC3)CC2C1C,DCM-55584,/tmp/temp/ina_vdni7tn2
HSAFJZYWVKCHEG-UHFFFAOYSA-N,PubChem,Cc1cc(=O)nc(SCC(=O)Nc2ccccc2[N+](=O)[O-])[nH]1,CHEMBL1373249,320.33000000000004,CC1CC(C)CC(CCC(C)CC2CCCCC2C(C)C)C1,DCM-44597,/tmp/temp/ina_vdni7tn2
SGEWCQFRYRRZDC-YWFAZRBLSA-N,PubChem,O=c1cc(-c2ccc(O)cc2)oc2c(C3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,CHEMBL1332209,432.3810000000002,CCC1CC(C2C(C)CC(C)C3C(C)CC(C4CCC(C)CC4)CC32)C(C)C(C)C1C,DCM-46450,/tmp/temp/ina_vdni7tn2
IHVPUALFIIBMAI-UHFFFAOYSA-N,PubChem,CC1CCC2(CC1)NC(=O)N(CC(=O)N1CCN(C(=O)c3ccco3)CC1)C2=O,CHEMBL1318511,402.4510000000002,CC1CCC2(CC1)CC(C)C(CC(C)C1CCC(C(C)C3CCCC3)CC1)C2C,DCM-59602,/tmp/temp/ina_vdni7tn2
LNBKAEFSZBEOFI-UHFFFAOYSA-N,PubChem,COc1ccc(NC(=S)N2CCC(N(C)CCN3CCOCC3)CC2)cc1,CHEMBL1902822,392.5690000000001,CCC1CCC(CC(C)C2CCC(C(C)CCC3CCCCC3)CC2)CC1,DCM-101628,/tmp/temp/ina_vdni7tn2
DEFKVMOLYTUGOM-UHFFFAOYSA-N,PubChem,COc1ccccc1N1CCN(C(=O)CCC(=O)Nc2nnc(CC(C)C)s2)CC1,CHEMBL1458951,431.5620000000002,CCC1CCCCC1C1CCC(C(C)CCC(C)CC2CCC(CC(C)C)C2)CC1,DCM-52748,/tmp/temp/ina_vdni7tn2
DERCDELOZKOELA-UHFFFAOYSA-N,PubChem,CCC(NS(=O)(=O)c1ccc(NC(C)=O)cc1)C(=O)O,CHEMBL1509054,300.33600000000007,CCC(CC(C)(C)C1CCC(CC(C)C)CC1)C(C)C,DCM-18303,/tmp/temp/ina_vdni7tn2
KBVNFOTZBYVYFB-UHFFFAOYSA-N,PubChem,O=C1CN(C(=O)COC(=O)c2cccc(OCc3ccccc3)c2)c2ccccc2N1,CHEMBL1343419,416.4330000000001,CC1CC2CCCCC2C(C(C)CCC(C)C2CCCC(CCC3CCCCC3)C2)C1,DCM-98150,/tmp/temp/ina_vdni7tn2
